,Unnamed: 0,EPIC,normal_hasub,period,mass,RA,Dec,radius
0,0,201136343,0.024514673,0.796080273,0.257,175.087668,-5.628993,0.253
1,1,201147085,0.011223951,26.28863108,0.333,173.90266,-5.364592,0.309
2,2,201147133,0.014890218,32.73750932,0.166,172.834407,-5.363503,0.183
3,3,201148176,0.001635065,20.6804108,0.371,173.737867,-5.337515,0.342
4,4,201148594,0.027210783,38.16803544,0.235,173.160202,-5.327103,0.238
5,5,201149246,0.006647697,10.97499742,0.28,173.243607,-5.31262,0.262
6,6,201149362,0.069436025,10.44802032,0.182,174.853994,-5.310294,0.197
7,7,201149963,0.065623757,47.04903885,0.176,173.648977,-5.295557,0.194
8,8,201151249,0.056694646,46.44863043,0.323,173.197344,-5.266211,0.301
9,9,201151496,0.020728299,43.99844638,0.206,173.312515,-5.260146,0.219
10,10,201151911,0.113963744,45.60215794,0.262,174.59722,-5.250488,0.258
11,11,201152644,0.006743171,11.09052545,0.264,172.689566,-5.232645,0.263
12,12,201153579,0.005166199,21.92627933,0.383,173.502605,-5.210375,0.353
13,13,201156557,0.04054823,0.188624313,0.275,174.858271,-5.138883,0.267
14,14,201156820,0.004501592,13.95988595,0.272,173.480128,-5.132906,0.266
15,15,201156840,0.007977777,12.51152317,0.452,173.550767,-5.132388,0.409
16,16,201157270,0.002759849,42.36878052,0.271,173.50274,-5.122417,0.268
17,17,201160015,0.015763013,31.32855813,0.359,173.323511,-5.05596,0.333
18,18,201160678,0.007696865,36.49791028,0.332,171.757664,-5.039678,0.316
19,19,201161139,0.018444974,2.790767154,0.284,172.001636,-5.029729,0.278
20,20,201161491,0.010734188,16.4220837,0.272,171.157822,-5.021236,0.256
21,21,201161944,0.014364448,16.24220289,0.289,170.875834,-5.010838,0.279
22,22,201163216,0.072287304,25.63225836,0.183,173.186465,-4.979804,0.201
23,23,201163478,0.02791479,15.40478317,0.167,173.645242,-4.973476,0.189
24,24,201163859,0.097649365,48.76840935,0.202,174.668005,-4.964797,0.215
25,25,201164732,0.016416667,14.97830463,0.288,173.292412,-4.944395,0.286
26,26,201165011,0.014029832,28.59839203,0.239,172.615748,-4.938235,0.249
27,27,201165141,0.007854003,32.13317901,0.321,172.854734,-4.935471,0.297
28,28,201165258,0.008950325,48.7683868,0.371,172.577399,-4.93273,0.344
29,29,201165294,0.039129647,19.86959331,0.255,171.048343,-4.931926,0.259
30,30,201168081,0.048913396,0.527201676,0.231,173.19135,-4.864819,0.237
31,31,201168428,0.024539523,43.42573958,0.161,173.969346,-4.855538,0.183
32,32,201168957,0.007991283,27.97883659,0.396,172.011627,-4.842066,0.371
33,33,201169812,0.015444194,19.65503508,0.206,174.639737,-4.821357,0.22
34,34,201169830,0.024680526,17.76271503,0.361,169.579354,-4.820877,0.334
35,35,201169856,0.043402704,36.7660174,0.154,173.561651,-4.820178,0.176
